Trading Strategy,Bitcoin train,Bitcoin test,Ethereum
Buy-and-Hold,116918.97703677377,1163.7100970760914,4338.1248657593005
MACD Trading Strategy,23212.344970184193,747.6074778499653,2876.4504866721077
Evolve strategy 0,191725.28127442498,1000.0,2753.2454282125204
Evolve strategy 1,193214.98493224214,1516.1594710913091,4063.7893290731095
Evolve strategy 2,188363.36595717235,1389.1011438609512,2436.225275548159
Evolve strategy 3,170036.50121473763,563.1439254009194,1354.6025088516124
Evolve strategy 4,172519.26921337895,650.243320971987,1855.167487435404
Evolve strategy 5,159606.79907801165,709.5754731606997,2133.203010437533
Evolve strategy 6,156436.2306094717,1000.0,2213.520925480428
Evolve strategy 7,182555.35107939897,739.9126918734611,1842.5135788908326
Evolve strategy 8,152366.28365862454,1000.0,5000.02195864987
Evolve strategy 9,157574.46049007523,853.9928232932359,2086.064505568376
Evolve strategy 86,108658.5003132904,1320.564213069445,11320.915349707548
